Tanggal ,Prediksi Tinggi Muka Laut,Kecepatan Angin,Gangguan Cuaca,Gelombang,Peristiwa Astronomi,Rob
18 Mei 2020,1.0,0,1,1.25,0,0
19 Mei 2020,1.1,0,1,1.25,0,0
20 Mei 2020,1.2,0,1,1.0,1,0
21 Mei 2020,1.3,15,1,1.0,1,0
22 Mei 2020,1.4,10,1,0.75,1,0
23 Mei 2020,1.4,15,1,0.75,1,0
24 Mei 2020 07.00 WIB,1.5,15,1,0.75,1,1
25 Mei 2020 07.00 WIB,1.5,25,1,1.5,1,1
26 Mei 2020 07.00 WIB,1.5,15,1,2.0,1,1
27 Mei 2020 07.00 WIB,1.5,15,1,2.0,1,1
28 Mei 2020 07.00 WIB,1.4,8,1,2.0,1,0
29 Mei 2020,1.4,8,0,1.5,0,0
30 Mei 2020,1.2,10,0,1.5,0,0
10 Desember 2020,1.2,15,0,0.75,0,0
11 Desember 2020,1.3,25,0,1.25,0,0
12 Desember 2020,1.4,25,0,1.25,1,0
13 Desember 2020,1.5,15,0,1.0,1,0
14 Desember 2020,1.5,20,1,1.25,1,0
15 Desember 2020,1.6,15,1,1.25,1,1
16 Desember 2020,1.6,20,1,1.25,1,1
17 Desember 2020 ,1.6,25,1,1.5,1,1
18 Desember 2020,1.5,20,0,1.5,0,0
19 Desember 2020,1.4,20,0,1.5,0,0
20 Desember 2020,1.3,20,0,0.5,0,0
21 Desember 2020,1.2,15,0,0.5,0,0
2 November 2021,1.2,0,1,1.0,1,0
3 November 2021,1.3,10,1,1.0,1,0
4 November 2021,1.4,10,1,1.0,1,0
5 november 2021 18.00 WIB,1.5,15,1,1.5,1,1
6 november 2021 18.00 WIB,1.6,20,1,1.5,1,1
7 november 2021 20.00 WIB,1.6,25,1,1.5,1,1
8 November 2021,1.6,20,1,1.5,0,1
9 November 2021,1.6,15,1,1.5,0,1
